(:,0.406,0.0938,0.55,0.0938,0.55
):,-0.296,0.1688,-0.45,-0.45,0.1688
:(,-0.454,-0.4296,-0.475,-0.475,-0.4296
:'(,-0.562,-0.3488,-0.55,-0.562,-0.3488
:'),0.218,-0.014,0.575,-0.014,0.575
:/,-0.374,-0.0624,-0.35,-0.374,-0.0624
:],0.422,0.1648,0.55,0.1648,0.55
:|,-0.062,-0.1218,-0.1,-0.1218,-0.062
:d,-0.078,0.2562,0.575,-0.078,0.575
:-d,-0.156,-0.0096,0.575,-0.156,0.575
:o,0.032,-0.0538,-0.1,-0.1,0.032
:p,0.344,0.0926,0.25,0.0926,0.35
:s,-0.094,-0.0746,-0.3,-0.3,-0.0746
;),0.312,0.1414,0.225,0.1414,0.312
;-),0.672,0.0998,0.25,0.0998,0.672
;d,-0.266,0.1564,0.2,-0.266,0.2
<3,0.532,0.1564,0.475,0.1564,0.532
abuse,-0.968,-0.1032,-0.8,-0.968,-0.1032
accept,0.546,-0.0546,0.4,-0.0546,0.546
ache,-0.61,-0.4306,-0.4,-0.61,-0.4
adorable,0.704,0.2662,0.55,0.2662,0.704
agree,0.438,0.1298,0.375,0.1298,0.438
alright,0.312,0.1196,0.25,0.1196,0.312
amazing,0.968,0.2314,0.7,0.2314,0.968
amused,0.64,0.1416,0.45,0.1416,0.64
amusing,0.656,0.3014,0.4,0.3014,0.656
apologise,-0.032,-0.0104,0.4,-0.032,0.4
apologize,0.218,-0.0412,0.1,-0.0412,0.218
apology,0,-0.0168,0.05,-0.0168,0.05
appalling,-0.782,-0.2098,-0.375,-0.782,-0.2098
appreciate,0.688,0.3398,0.425,0.3398,0.688
appreciated,0.704,0.3862,0.575,0.3862,0.704
ashamed,-0.874,-0.2242,-0.525,-0.874,-0.2242
ass,-0.406,-0.0282,-0.625,-0.625,-0.0282
assure,0.422,0.3506,0.35,0.35,0.422
awards,0.546,0.1318,0.5,0.1318,0.546
awesome,0.734,0.2626,0.775,0.2626,0.775
awful,-0.594,-0.359,-0.5,-0.594,-0.359
awkward,-0.594,-0.0052,-0.15,-0.594,-0.0052
bad,-0.5,-0.2594,-0.625,-0.625,-0.2594
badly,-0.328,-0.3326,-0.525,-0.525,-0.328
banned,-0.718,-0.2624,-0.5,-0.718,-0.2624
bastard,-0.812,-0.1262,-0.625,-0.812,-0.1262
beautiful,0.688,0.2098,0.725,0.2098,0.725
beauty,0.828,0.2114,0.7,0.2114,0.828
best,0.812,0.1574,0.8,0.1574,0.812
better,0.578,0.0328,0.475,0.0328,0.578
